Response Cards,Set
69,Dirty Nasty Filthy
420,Cads Against Adulting
1790,Disgruntled Decks: Coast Guard/Coastie Edition
…then the penis is inserted into the vagina.,WTF Did You Say?!?
"""Hello Mister!""",JadedAid: A Card Game to Save Humanitarians
"""I want to do it by myseeeeeeelf!""",KinderPerfect: A Timeout For Parents (Kickstarter Set)
"""Jerk him, Tahiti!

Jerk him off""",Dick
"""Partners!

I must have Partners!""",Dick
"""Stop playing with your penis!""",KinderPerfect: A Timeout For Parents (Kickstarter Set)
"""Trump Nude"" internet searches.",Humanity Hates Trump: Expansion Pack 1
"""Tweeting.""",CAH Base Set
"""Worshipping"" the saints.",The Catholic Card Game: Five Deck Expansion Pack
“Accidentally” sticking your finger in your ass while wiping.,Words Against Morality: Volume 3
“Christian Domestic Discipline 101” from Amazon.com.*,Carbs of the Huge Manatee - Kink Expansion 1
"“Exiting, pursued by a bear.”",Carbs of the Huge Manatee - Kink Expansion 1
“I'm off my meds so I may be a bit weird.”,Carbs of the Huge Manatee - Online Dating Expansion 1
“Intimacy issues.”,Cads About Matrimony
“Intimacy issues.”,Cads About Matrimony Poly Pack
"“Knock Knock, Motherfucker.”",Carbs of the Huge Manatee: General Expansion 3
"“Oh dear God, coffee!”",Carbs of the Huge Manatee: General Expansion 2
“Platonic” cuddle buddies.,Carbs of the Huge Manatee: Dance Expansion 1
“Somebody That I Used To Know” covered by Sting.,Carbs of the Huge Manatee: General Expansion 1
"“Too much bush,” whatever that is.",Words Against Morality: Volume 4
"“Useless, yerk-toting, Frisbee-chucking cheeba-monkeys”",Carbs of the Huge Manatee: General Expansion 2
“Vegan-leather” bondage gear.,Carbs of the Huge Manatee - Kink Expansion 1
“Working” from home.,Carbs of the Huge Manatee: General Expansion 3
(1/2 * your age) + 7,Carbs of the Huge Manatee: General Expansion 3
(An) eggplant emoji.,"Humanity Hates the Holidays ""Love"" Edition"
(I am doing Kegels right now.),CAH Base Set
(Sleeping Beauty's curse) A magical prick,Rotten Apples: The Tasteless Adult Party Game
(wub)(wub)(wub),Carbs of the Huge Manatee: Dance Expansion 1
[A picture of Sean Connery in the movie Zardoz],Sci-Fi Pack
[banana condom],Evil Apples
[Chewbacca Noise].,Cocks Abreast Hostility: Cock Pack One: Just The Tip
[image of eastern gray squirrel],Cols Against Kentucky 2
[Jesus playing beer pong],Evil Apples
[Player to your left]'s reproductive organ.,Cards With No Sexuality
[tentacles toilet],Evil Apples
[The state-of-the-art Orgasmatron 8000],Evil Apples
[Washing instructions graphic],Knitters Against Swatches Second Edition
/Piss Christ/.,Cocks Abreast Hostility: Cock Pack One: Just The Tip
#Awesome,Cards for the Masses
#blackfridaymatters,Humanity Hates The Holidays
#BlackLivesMatter movement.,Humanity Hates Trump: Base Set
#BlackLivesMatter rally.,WTF Did You Say?!?
#BlackLivesMatter., 2016 Election Game 
#diaperfail,Cads About Maternity - A game for bad mommies
#fearvokallchicks.,Hilarious!
#Hashtag,Kids Against Maturity
#MeToo,"Clams Attempt Harmonica, Volume 1"
"#occupy or #octopi, whichever",Conspiracy Theory
#YOLO.,Cakes Athirst Hilarity Volume 4
|Getting so angry that you pop a boner.,Hilarious!
|Oral sex that tastes like urine.,Hilarious!
∩ (O_O) ∩,WTF Did You Say?!?
$1.25 per day,JadedAid: A Card Game to Save Humanitarians
$10 bills defaced with anarchist propaganda.,Cads Against Adulting
